targetChemblId,uniport_accession,gene_name
CHEMBL1075317,P61964,WDR5
CHEMBL1163116,P22687,CETP
CHEMBL1163125,O60885,BRD4
CHEMBL1250375,Q9NPH5,NOX4
CHEMBL1255150,Q80SS6,Gpbar1
CHEMBL1744525,P43490,NAMPT
CHEMBL1781,P11387,TOP1
CHEMBL1782,P14324,FDPS
CHEMBL1792,P35346,SSTR5
CHEMBL1795101,Q9JN24,def
CHEMBL1795139,Q8IU80,TMPRSS6
CHEMBL1798,Q9Y271,CYSLTR1
CHEMBL1804,P30874,SSTR2
CHEMBL1808,P12821,ACE
CHEMBL1822,P20839,IMPDH1
CHEMBL1824,P04626,ERBB2
CHEMBL1827,O76074,PDE5A
CHEMBL1829,O15379,HDAC3
CHEMBL1835,P24557,TBXAS1
CHEMBL1836,P35408,PTGER4
CHEMBL1849,P9WGR1,inhA
CHEMBL1850,P21918,DRD5
CHEMBL1856,P31213,SRD5A2
CHEMBL1860,P10827,THRA
CHEMBL1865,Q9UBN7,HDAC6
CHEMBL1867,P08913,ADRA2A
CHEMBL1868,P17948,FLT1
CHEMBL1871,P10275,AR
CHEMBL1881,P43116,PTGER2
CHEMBL1889,P37288,AVPR1A
CHEMBL1898,P28222,HTR1B
CHEMBL1899,P46098,HTR3A
CHEMBL1900,P15121,AKR1B1
CHEMBL1901,P32238,CCKAR
CHEMBL1907588,P02708,CHRNA1
CHEMBL1907591,P30926,CHRNB4
CHEMBL1907594,P30926,CHRNB4
CHEMBL1907595,P09483,Chrna4
CHEMBL1907595,P12392,Chrnb4
CHEMBL1907596,P12390,Chrnb2
CHEMBL1907601,P11802,CDK4
CHEMBL1907601,P24385,CCND1
CHEMBL1907603,Q05586,GRIN1
CHEMBL1907603,Q13224,GRIN2B
CHEMBL1907604,Q05586,GRIN1
CHEMBL1907604,Q12879,GRIN2A
CHEMBL1907605,P24864,CCNE1
CHEMBL1908385,P9WI81,pknB
CHEMBL1914,P06276,BCHE
CHEMBL1916,P18825,ADRA2C
CHEMBL1921666,P0A0K8,gyrB
CHEMBL1929,P47989,XDH
CHEMBL1941,P25021,HRH2
CHEMBL1942,P18089,ADRA2B
CHEMBL1944,P08473,MME
CHEMBL1947,P10828,THRB
CHEMBL1949,P62937,PPIA
CHEMBL1951,P21397,MAOA
CHEMBL1977,P11473,VDR
CHEMBL1983,P28221,HTR1D
CHEMBL1991,O14920,IKBKB
CHEMBL2000,P03952,KLKB1
CHEMBL2002,P12268,IMPDH2
CHEMBL2007625,O75874,IDH1
CHEMBL2010636,Q8WQX9,PDEB1
CHEMBL2016,P00740,F9
CHEMBL203,P00533,EGFR
