gene_name,compound_name,source
RBM22,Kaempferol,STITCH
HSD17B2,Kaempferol,STITCH
ESR1,Kaempferol,STITCH
MAPK1,Kaempferol,STITCH
HMOX1,Kaempferol,STITCH
NFKBIA,Kaempferol,STITCH
MMP2,Kaempferol,STITCH
GSR,Kaempferol,STITCH
CCL2,Kaempferol,STITCH
IL2,Kaempferol,STITCH
PPP3R1,Kaempferol,STITCH
ABCG2,Kaempferol,STITCH
TP53I3,Kaempferol,STITCH
PPP3CC,Kaempferol,STITCH
CAT,Kaempferol,STITCH
AHR,Kaempferol,STITCH
ALOX12,Kaempferol,STITCH
UGT2A3,Kaempferol,STITCH
H3-3B,Kaempferol,STITCH
CRP,Kaempferol,STITCH
CCNB1,Kaempferol,STITCH
MAPK3,Kaempferol,STITCH
NOX4,Kaempferol,STITCH
TYR,Kaempferol,STITCH
BCHE,Kaempferol,STITCH
STAT3,Kaempferol,STITCH
MTRR,Kaempferol,STITCH
UGT2B10,Kaempferol,STITCH
ABCB1,Kaempferol,STITCH
CDK6,Kaempferol,STITCH
SQLE,Kaempferol,STITCH
CDK2,Kaempferol,STITCH
RB1,Kaempferol,STITCH
TP53,Kaempferol,STITCH
SOD1,Kaempferol,STITCH
AKT1,Kaempferol,STITCH
UGT3A1,Kaempferol,STITCH
ATM,Kaempferol,STITCH
UGT3A2,Kaempferol,STITCH
AKR1B1,Kaempferol,STITCH
CIB4,Kaempferol,STITCH
ITGA2,Kaempferol,STITCH
CSF2,Kaempferol,STITCH
TNFRSF11B,Kaempferol,STITCH
NOS3,Kaempferol,STITCH
CHP2,Kaempferol,STITCH
UGT1A6,Kaempferol,STITCH
CBR4,Kaempferol,STITCH
UGT2B7,Kaempferol,STITCH
UGT1A1,Kaempferol,STITCH
UGT2B4,Kaempferol,STITCH
CASP3,Kaempferol,STITCH
UGT8,Kaempferol,STITCH
MSRA,Kaempferol,STITCH
NQO1,Kaempferol,STITCH
UGT2B17,Kaempferol,STITCH
NCOA1,Kaempferol,STITCH
MMP1,Kaempferol,STITCH
CYP2B6,Kaempferol,STITCH
NOS2,Kaempferol,STITCH
UPP1,Kaempferol,STITCH
CASP9,Kaempferol,STITCH
CIB1,Kaempferol,STITCH
COQ6,Kaempferol,STITCH
UGT2B28,Kaempferol,STITCH
TESC,Kaempferol,STITCH
GSTA1,Kaempferol,STITCH
CHP1,Kaempferol,STITCH
NR1I2,Kaempferol,STITCH
NOS1,Kaempferol,STITCH
CYP3A4,Kaempferol,STITCH
UGT2B15,Kaempferol,STITCH
CYP1A2,Kaempferol,STITCH
PTGES,Kaempferol,STITCH
UGT1A10,Kaempferol,STITCH
ESR2,Kaempferol,STITCH
UGT1A9,Kaempferol,STITCH
SRC,Kaempferol,STITCH
TYW1,Kaempferol,STITCH
STAT1,Kaempferol,STITCH
KMO,Kaempferol,STITCH
PTGS2,Kaempferol,STITCH
NR1I3,Kaempferol,STITCH
CHUK,Kaempferol,STITCH
LEPROT,Kaempferol,STITCH
JUN,Kaempferol,STITCH
ALDH18A1,Kaempferol,STITCH
NDOR1,Kaempferol,STITCH
MMP9,Kaempferol,STITCH
UGT1A4,Kaempferol,STITCH
UGT1A5,Kaempferol,STITCH
UGT1A7,Kaempferol,STITCH
UGT1A8,Kaempferol,STITCH
ALOX5,Kaempferol,STITCH
PPP3R2,Kaempferol,STITCH
H2AX,Kaempferol,STITCH
XDH,Kaempferol,STITCH
RPS6KA3,Kaempferol,STITCH
CYP1A1,Kaempferol,STITCH
GPX2,Kaempferol,STITCH
