gene_name,ingredient_name
HMOX1,Sauchinone
HMOX2,Sauchinone
MTRR,Sauchinone
NOS3,Sauchinone
NOS2,Sauchinone
NOS1,Sauchinone
TYW1,Sauchinone
NDOR1,Sauchinone
NFE2L2,Sauchinone
POR,Sauchinone
MAX,N-[2-(4-hydroxyphenyl)ethyl]acetamide
MAPK1,Phenethyl caffeate
RARA,Phenethyl caffeate
TYR,Phenethyl caffeate
N/A,Phenethyl caffeate
EGFR,Phenethyl caffeate
AKR1B1,Phenethyl caffeate
PDF,Phenethyl caffeate
NOS3,Phenethyl caffeate
CCL11,Phenethyl caffeate
NOS2,Phenethyl caffeate
NOS1,Phenethyl caffeate
PTK2,Phenethyl caffeate
APOD,Phenethyl caffeate
AKR1B10,Phenethyl caffeate
PTGS1,Phenethyl caffeate
RBL1,Phenethyl caffeate
RELA,Phenethyl caffeate
BCAR1,Phenethyl caffeate
STRADB,Artesunate
RPL6,Artesunate
N/A,Artesunate
RPS12,Artesunate
CAT,Artesunate
GSTM2,Artesunate
GAD2,Artesunate
BST1,Artesunate
ABCB1,Artesunate
HPX,Artesunate
CSAD,Artesunate
GADL1,Artesunate
FZD7,Artesunate
CCT2,Artesunate
ITGB1,Artesunate
ZBTB4,Artesunate
CASP3,Artesunate
OXSR1,Artesunate
TYMS,Artesunate
RPS15A,Artesunate
SLC25A19,Artesunate
TUFM,Artesunate
MMP1,Artesunate
CLIP4,Artesunate
STRADA,Artesunate
RPL7,Artesunate
HP,Artesunate
STK39,Artesunate
GAD1,Artesunate
SRSF2,Artesunate
NCKAP1,Artesunate
COQ8A,Artesunate
PARP1,Artesunate
FLNA,Artesunate
GCLM,Artesunate
VEGFA,Artesunate
TLR4,Artesunate
RPS6,Artesunate
DBH,Artesunate
G6PD,Artesunate
MTHFD2,Artesunate
NFE2L2,Artesunate
DHFR,Artesunate
RPL41,Artesunate
NACA,Artesunate
AQP2,Perlargonic acid
SDS,Perlargonic acid
N/A,Perlargonic acid
